a,,,
b,,,
,,,
,,,
,,,
,,,
,,,
Time (s),Left (N),Right (N),Combined (N)
0.001,551.25,550.25,1101.5
0.002,550.75,550.25,1101
0.003,550.5,550.25,1100.75
0.004,550.5,550.5,1101
0.005,550.5,550.5,1101
0.006,550.5,550.75,1101.25
0.007,550,550.75,1100.75
0.008,549.75,550.75,1100.5
0.009,549.75,550.5,1100.25
0.01,549.75,550.25,1100
0.011,549.75,550.25,1100
0.012,549.75,550.75,1100.5
0.013,549.75,550.5,1100.25
0.014,549.75,550.5,1100.25
0.015,549.75,550.5,1100.25
0.016,549.75,550,1099.75
0.017,549.75,550,1099.75
0.018,549.5,549.5,1099
0.019,549,550,1099
0.02,548,549.75,1097.75
0.021,548,550,1098
0.022,548,550,1098
0.023,548,549.5,1097.5
0.024,548,549.5,1097.5
0.025,547.5,549.5,1097
0.026,547.5,550,1097.5
0.027,547.5,550,1097.5
0.028,547.5,550,1097.5
0.029,547,550,1097
0.03,547,550.25,1097.25
0.031,547,550.25,1097.25
0.032,547,550.25,1097.25
0.033,547,550.25,1097.25
0.034,547,550.25,1097.25
0.035,547,550.75,1097.75
0.036,546.75,550.75,1097.5
0.037,546.75,550.75,1097.5
0.038,545.75,551.25,1097
0.039,545.75,551.25,1097
0.04,545.75,551.25,1097
0.041,545.75,551,1096.75
0.042,545.75,551,1096.75
0.043,546.25,551.5,1097.75
0.044,546.25,551.5,1097.75
0.045,546.25,550.5,1096.75
0.046,546.25,550.5,1096.75
0.047,545.75,550.5,1096.25
0.048,546.25,550.5,1096.75
0.049,546.25,551,1097.25
0.05,545.75,551,1096.75
0.051,545.75,551.5,1097.25
0.052,545.75,551.5,1097.25
0.053,546,551.5,1097.5
0.054,546,551.5,1097.5
0.055,546,551.5,1097.5
0.056,546,551,1097
0.057,546,551.5,1097.5
0.058,546,551.5,1097.5
0.059,546,551,1097
0.06,545.75,551,1096.75
0.061,545.75,551,1096.75
0.062,545.75,551,1096.75
0.063,545.25,551,1096.25
0.064,545.25,551,1096.25
0.065,545.25,550.5,1095.75
0.066,545.25,550.5,1095.75
0.067,545.25,550.5,1095.75
0.068,544.75,550.5,1095.25
0.069,544.75,550.5,1095.25
0.07,544.25,551,1095.25
0.071,544.25,550.75,1095
0.072,544.25,550.5,1094.75
0.073,544.25,550.25,1094.5
0.074,544.25,550.25,1094.5
0.075,544.25,550.25,1094.5
0.076,544.25,550,1094.25
0.077,544.25,549,1093.25
0.078,544.25,549,1093.25
0.079,544.25,549,1093.25
0.08,544.25,549,1093.25
0.081,544.25,549,1093.25
0.082,544.25,549,1093.25
0.083,544.25,549,1093.25
0.084,544.25,549,1093.25
0.085,544.25,549.5,1093.75
0.086,544.25,549.5,1093.75
0.087,544.25,549,1093.25
0.088,544.25,549,1093.25
0.089,544.25,549,1093.25
0.09,544.75,549.25,1094
0.091,544.75,549.25,1094
0.092,544.75,549.25,1094
0.093,544.75,549.25,1094
0.094,544.75,548.75,1093.5
0.095,544.75,548.75,1093.5
0.096,544.75,549,1093.75
0.097,544.75,549.25,1094
0.098,545.25,549.25,1094.5
0.099,545.25,549.25,1094.5
0.1,545.25,549.25,1094.5
0.101,545.25,549.75,1095
0.102,545.25,549.75,1095
0.103,545.25,549.75,1095
0.104,545.25,549.75,1095
0.105,545.5,549.75,1095.25
0.106,545.5,549.75,1095.25
0.107,545.5,549.75,1095.25
0.108,545.75,549.75,1095.5
0.109,545.75,549.75,1095.5
0.11,545.5,549.75,1095.25
0.111,545.5,550.25,1095.75
0.112,545.5,550.25,1095.75
0.113,545.5,549.75,1095.25
0.114,545.5,549.75,1095.25
0.115,546,549.75,1095.75
0.116,546,549.75,1095.75
0.117,546,549.75,1095.75
0.118,546.5,549.75,1096.25
0.119,546.5,549.75,1096.25
0.12,546.5,549.75,1096.25
0.121,546.5,549.75,1096.25
0.122,546.5,549.75,1096.25
0.123,547,549.75,1096.75
0.124,547,550,1097
0.125,547,550,1097
0.126,547.5,550,1097.5
0.127,547.5,550,1097.5
0.128,547.5,550.5,1098
0.129,547.5,550,1097.5
