a,,,
b,,,
,,,
,,,
,,,
,,,
,,,
Time (s),Left (N),Right (N),Combined (N)
0.13,547.5,550,1097.5
0.131,548,550,1098
0.132,548,549.75,1097.75
0.133,548.25,549.75,1098
0.134,548.25,550.25,1098.5
0.135,547.75,550.25,1098
0.136,547.75,550.25,1098
0.137,547.75,549.5,1097.25
0.138,548.25,549.5,1097.75
0.139,548.25,549.5,1097.75
0.14,548.25,549.5,1097.75
0.141,548.25,550,1098.25
0.142,548.5,550,1098.5
0.143,548.5,550.5,1099
0.144,548.75,550.5,1099.25
0.145,548.75,550.75,1099.5
0.146,549.25,550.75,1100
0.147,549.25,550.75,1100
0.148,549.25,550.75,1100
0.149,549.75,551.25,1101
0.15,549.75,551.25,1101
0.151,549.75,551.25,1101
0.152,550.25,551.5,1101.75
0.153,550.75,551.5,1102.25
0.154,550.75,551.5,1102.25
0.155,550.75,551.5,1102.25
0.156,550.75,552,1102.75
0.157,550.75,552,1102.75
0.158,550.75,552.5,1103.25
0.159,551.25,552.5,1103.75
0.16,551.25,552.5,1103.75
0.161,551.25,552.5,1103.75
0.162,551.25,552.5,1103.75
0.163,551.75,552.5,1104.25
0.164,551.75,551.5,1103.25
0.165,552.25,551.5,1103.75
0.166,551.75,551.5,1103.25
0.167,551.75,551.75,1103.5
0.168,551.75,551.75,1103.5
0.169,552.25,551.75,1104
0.17,552.25,551.75,1104
0.171,552.25,551.75,1104
0.172,552.25,551.75,1104
0.173,552.25,551.75,1104
0.174,552,551.25,1103.25
0.175,552,551.25,1103.25
0.176,552.5,551.25,1103.75
0.177,552.5,550.75,1103.25
0.178,552.5,550.25,1102.75
0.179,552,550.25,1102.25
0.18,552.5,550.75,1103.25
0.181,552,550.75,1102.75
0.182,552.5,550.75,1103.25
0.183,552.5,550.75,1103.25
0.184,552.5,550.75,1103.25
0.185,552.5,549.75,1102.25
0.186,552.5,550.25,1102.75
0.187,553,550.25,1103.25
0.188,553,550.25,1103.25
0.189,553,550.25,1103.25
0.19,553.75,550.25,1104
0.191,553.75,550.25,1104
0.192,553.75,550.25,1104
0.193,553.75,550,1103.75
0.194,553.75,550,1103.75
0.195,553.75,550,1103.75
0.196,554,549.75,1103.75
0.197,554,549.25,1103.25
0.198,554,549.25,1103.25
0.199,554,549.25,1103.25
0.2,554,548.75,1102.75
0.201,554,549,1103
0.202,554,549,1103
0.203,554.5,549,1103.5
0.204,554.25,549,1103.25
0.205,554.25,549,1103.25
0.206,554.25,549.25,1103.5
0.207,554.25,549.25,1103.5
0.208,554.25,549.75,1104
0.209,554.25,550,1104.25
0.21,554.25,550,1104.25
0.211,554.25,549.5,1103.75
0.212,554,550,1104
0.213,554,550,1104
0.214,554,550,1104
0.215,553.5,550.25,1103.75
0.216,553.5,550.5,1104
0.217,553.5,550.5,1104
0.218,554,550.5,1104.5
0.219,554,550,1104
0.22,554,549.75,1103.75
0.221,554,549.75,1103.75
0.222,554,549.25,1103.25
0.223,554,549.25,1103.25
0.224,554,548.75,1102.75
0.225,554,548.75,1102.75
0.226,554,548.75,1102.75
0.227,554,548.75,1102.75
0.228,554,548.75,1102.75
0.229,554,548.5,1102.5
0.23,554.5,548.5,1103
0.231,554.5,548.5,1103
0.232,554.5,548.5,1103
0.233,554,548,1102
0.234,554,548,1102
0.235,553,548,1101
0.236,553,547.5,1100.5
0.237,553,547,1100
0.238,553,547,1100
0.239,552.5,548,1100.5
0.24,552.5,548,1100.5
0.241,552,547.5,1099.5
0.242,552,547.5,1099.5
0.243,552,548,1100
0.244,552,548,1100
0.245,552,548.25,1100.25
0.246,552,548.25,1100.25
0.247,552,549.25,1101.25
0.248,551.75,548.75,1100.5
0.249,551.75,549.25,1101
0.25,551.75,549.25,1101
0.251,551.75,549.25,1101
0.252,551.75,550.25,1102
0.253,551.75,550.25,1102
0.254,551.75,550,1101.75
0.255,551.75,550,1101.75
0.256,551.75,550,1101.75
0.257,551.75,550.25,1102
0.258,551.75,550.25,1102
0.259,551.75,550.25,1102
0.26,551.75,549.75,1101.5
0.261,551.75,549.25,1101
0.262,551.75,549.25,1101
0.263,551.75,549.25,1101
0.264,551.25,548.75,1100
0.265,550.25,549,1099.25
0.266,550.25,549,1099.25
0.267,550.25,549,1099.25
0.268,550.25,549,1099.25
0.269,550.25,549,1099.25
0.27,550.25,549.5,1099.75
0.271,550.25,548.5,1098.75
0.272,550.25,548.5,1098.75
0.273,550.25,548.5,1098.75
0.274,550.25,548,1098.25
0.275,549.75,548,1097.75
0.276,549.75,548.5,1098.25
0.277,549.75,548.5,1098.25
0.278,549.75,548.5,1098.25
0.279,549.75,548.5,1098.25
0.28,549.5,548.5,1098
0.281,549.5,548.25,1097.75
0.282,549.5,548.25,1097.75
0.283,549.5,548.25,1097.75
0.284,549.5,547.75,1097.25
0.285,549.5,547.75,1097.25
0.286,550,547.75,1097.75
0.287,550,547.75,1097.75
0.288,550,547.75,1097.75
0.289,550,548,1098
0.29,550,548,1098
0.291,550,548,1098
0.292,550,548,1098
0.293,550,547.25,1097.25
0.294,550,547.5,1097.5
0.295,550,548,1098
0.296,550,548,1098
0.297,550,548,1098
0.298,550,548,1098
0.299,550,549,1099
0.3,550,549.5,1099.5
0.301,550,549.5,1099.5
0.302,550,549.5,1099.5
0.303,550,549.5,1099.5
0.304,550,549.5,1099.5
0.305,550,549.5,1099.5
0.306,550,549.5,1099.5
0.307,550,549.5,1099.5
0.308,550,549.5,1099.5
0.309,550,549,1099
0.31,550,549,1099
0.311,550,549,1099
0.312,550,549,1099
0.313,550,549,1099
0.314,550,549.5,1099.5
0.315,550,549.5,1099.5
0.316,550,549.5,1099.5
0.317,550,549.5,1099.5
0.318,549.5,549.5,1099
0.319,549.5,550,1099.5
0.32,549.5,550,1099.5
0.321,549.5,549.5,1099
0.322,549.5,549,1098.5
0.323,549.5,549,1098.5
0.324,549.5,549.5,1099
0.325,549.5,549,1098.5
0.326,549.5,549,1098.5
0.327,549.5,549,1098.5
0.328,549.25,549,1098.25
0.329,549.25,549,1098.25
0.33,549.25,549,1098.25
0.331,549.25,549,1098.25
0.332,549.25,548.5,1097.75
0.333,549.75,548,1097.75
0.334,549.75,548.5,1098.25
0.335,549.75,548.5,1098.25
0.336,549.75,549,1098.75
0.337,549.75,548.75,1098.5
0.338,549.75,549,1098.75
0.339,549.75,549,1098.75
0.34,549.75,550,1099.75
0.341,549.75,549.5,1099.25
0.342,549.25,550,1099.25
0.343,549.25,550,1099.25
0.344,549.25,550,1099.25
0.345,549.25,549.75,1099
0.346,549.25,549.75,1099
0.347,549.25,549.75,1099
0.348,549.25,549.75,1099
0.349,549.25,550.25,1099.5
0.35,549.25,550.25,1099.5
0.351,548.75,550.25,1099
0.352,548.75,550.25,1099
0.353,548.75,549.75,1098.5
0.354,548.25,549.75,1098
0.355,547.75,549.75,1097.5
0.356,547.75,550.25,1098
0.357,547.75,549.75,1097.5
0.358,546.75,549.5,1096.25
0.359,546.75,549,1095.75
0.36,546.75,549,1095.75
0.361,546.25,548.5,1094.75
0.362,545.75,549,1094.75
0.363,545.5,549,1094.5
0.364,546,548.25,1094.25
0.365,546,548.25,1094.25
0.366,546,548.25,1094.25
0.367,546,548.25,1094.25
0.368,546,548,1094
0.369,546,548,1094
0.37,546.5,548.25,1094.75
0.371,547,548.25,1095.25
0.372,547,548.25,1095.25
0.373,547.25,548.25,1095.5
0.374,547.75,548.25,1096
0.375,547.75,548.75,1096.5
0.376,547.75,548.75,1096.5
0.377,547.75,548.75,1096.5
0.378,547.75,549.75,1097.5
0.379,547.75,549.75,1097.5
0.38,547.75,549.25,1097
0.381,547.75,549.75,1097.5
0.382,547.75,550.25,1098
0.383,547.75,550.75,1098.5
0.384,548,551,1099
0.385,548,550.75,1098.75
0.386,548,551.5,1099.5
0.387,548,551.5,1099.5
0.388,548,551.25,1099.25
0.389,548,551.75,1099.75
0.39,548,551.75,1099.75
0.391,548,552,1100
0.392,547.75,552,1099.75
0.393,547.75,552,1099.75
0.394,547.75,552,1099.75
0.395,547.75,552,1099.75
0.396,547.75,552,1099.75
0.397,548,552.25,1100.25
0.398,548,552.25,1100.25
0.399,548,552.75,1100.75
0.4,547.75,552.75,1100.5
0.401,547.75,552.75,1100.5
0.402,547.75,552.75,1100.5
0.403,548,552.25,1100.25
0.404,548,552.25,1100.25
0.405,548,552.25,1100.25
0.406,548,552.25,1100.25
0.407,548,552.25,1100.25
0.408,548,552.25,1100.25
0.409,548,552.75,1100.75
0.41,548,552.75,1100.75
0.411,548,552.75,1100.75
0.412,548,552.75,1100.75
0.413,548,552.75,1100.75
0.414,548,553.25,1101.25
0.415,548,554.25,1102.25
0.416,548,554.25,1102.25
0.417,548.25,554.25,1102.5
0.418,548.25,554.25,1102.5
0.419,548.25,555,1103.25
0.42,548.25,555.25,1103.5
0.421,548.25,555.25,1103.5
0.422,548.75,555.75,1104.5
0.423,548.75,555.75,1104.5
0.424,548.75,556.25,1105
0.425,548.75,556.25,1105
0.426,548.75,556,1104.75
0.427,549,555.5,1104.5
0.428,549,556,1105
0.429,549,556,1105
0.43,549.25,556,1105.25
0.431,549.25,555.5,1104.75
0.432,549.25,555.5,1104.75
0.433,549.25,555.5,1104.75
0.434,549.25,555.5,1104.75
0.435,549,555,1104
0.436,549,555,1104
0.437,549,555,1104
0.438,549,554.5,1103.5
0.439,549,554,1103
0.44,549,554.5,1103.5
0.441,548.75,554.5,1103.25
0.442,548.75,554.75,1103.5
0.443,548.75,555.25,1104
0.444,548.75,555.75,1104.5
0.445,548.75,555.75,1104.5
0.446,548.75,555.25,1104
0.447,548.75,555.75,1104.5
0.448,549.25,555.75,1105
0.449,549.25,556,1105.25
0.45,549.25,556,1105.25
0.451,549.25,556.25,1105.5
0.452,549,556.25,1105.25
0.453,549,556.75,1105.75
0.454,549,556.75,1105.75
0.455,549.25,557.25,1106.5
0.456,549.25,556.75,1106
0.457,549.25,557.25,1106.5
0.458,549.25,557.25,1106.5
0.459,549.25,557.25,1106.5
0.46,548.75,557.25,1106
0.461,548.75,557.25,1106
0.462,548.75,557.25,1106
0.463,548.75,557.25,1106
0.464,549.25,557.25,1106.5
0.465,549.25,557.25,1106.5
0.466,548.75,557.25,1106
0.467,548.75,556.75,1105.5
0.468,548.75,556.75,1105.5
0.469,548.75,556.75,1105.5
0.47,548.75,557.25,1106
0.471,548.75,556.75,1105.5
0.472,548.75,556.75,1105.5
0.473,548.75,556.75,1105.5
0.474,548.75,556.75,1105.5
0.475,548.75,556.75,1105.5
0.476,548.75,556.25,1105
0.477,548.75,556,1104.75
0.478,548.75,555.5,1104.25
0.479,548.75,555.25,1104
0.48,548.75,555.25,1104
0.481,548.75,555.25,1104
0.482,548.25,554.75,1103
0.483,548.25,554.25,1102.5
0.484,548,554.25,1102.25
0.485,547.5,554.25,1101.75
0.486,547.5,553.75,1101.25
0.487,547.5,553.75,1101.25
0.488,547.5,553,1100.5
0.489,548,553,1101
0.49,548,553,1101
0.491,548,553,1101
0.492,548.5,552.5,1101
0.493,548.5,552,1100.5
0.494,548.5,552,1100.5
0.495,548.5,552,1100.5
0.496,548.5,551.5,1100
0.497,548.75,551.5,1100.25
0.498,548.75,551.5,1100.25
0.499,548.25,551.75,1100
0.5,548.25,552.25,1100.5
0.501,548.25,552.25,1100.5
0.502,548.25,552.25,1100.5
0.503,548.75,552.25,1101
0.504,548.75,552.25,1101
0.505,549.25,552.25,1101.5
0.506,549.25,551.75,1101
0.507,549.25,551.75,1101
0.508,549.25,551.75,1101
0.509,549.25,551.75,1101
0.51,549.75,552.25,1102
0.511,549.75,552.5,1102.25
0.512,549.75,552.5,1102.25
0.513,549.75,552.5,1102.25
0.514,550.25,552,1102.25
0.515,550.25,552,1102.25
0.516,550.25,552,1102.25
0.517,550.25,552,1102.25
0.518,550.25,552,1102.25
0.519,550.25,552.25,1102.5
0.52,550.25,552.25,1102.5
0.521,550.25,552.25,1102.5
0.522,550.25,551.75,1102
0.523,550.25,552.25,1102.5
0.524,550.5,552.25,1102.75
0.525,550,552.25,1102.25
0.526,549.5,551.75,1101.25
0.527,549.5,551.75,1101.25
0.528,549.5,551.5,1101
0.529,549.5,551.5,1101
0.53,549.5,551,1100.5
0.531,549.5,551,1100.5
0.532,549.5,550.5,1100
0.533,549.5,550,1099.5
0.534,549.5,550,1099.5
0.535,549.5,550,1099.5
0.536,549.5,549.75,1099.25
0.537,549.5,549.75,1099.25
0.538,549.5,549.5,1099
0.539,549.5,549.5,1099
0.54,549.5,549.5,1099
0.541,549.5,549,1098.5
0.542,549.25,549,1098.25
0.543,549.75,549,1098.75
0.544,549.75,549.25,1099
0.545,549.25,548.25,1097.5
0.546,549.75,548.25,1098
0.547,549.75,548.75,1098.5
0.548,549.75,548.25,1098
0.549,549.75,548.25,1098
0.55,549.75,548.5,1098.25
0.551,550.25,548.5,1098.75
0.552,550.75,548.5,1099.25
0.553,550.75,548.75,1099.5
0.554,550.75,548.75,1099.5
0.555,550.75,548.75,1099.5
0.556,550.75,548.75,1099.5
0.557,550.75,548.75,1099.5
0.558,550.75,548.75,1099.5
0.559,550.75,548.25,1099
0.56,550.75,548.25,1099
0.561,551.25,548.75,1100
0.562,551.25,548.75,1100
0.563,551.25,548.75,1100
0.564,551.25,548.75,1100
0.565,551.25,548.75,1100
0.566,551.25,548.75,1100
0.567,551.25,548.75,1100
0.568,551.25,548.25,1099.5
0.569,551.25,548.25,1099.5
0.57,551.25,548.25,1099.5
0.571,551.25,548.25,1099.5
0.572,551.25,548.25,1099.5
0.573,551.25,547.75,1099
0.574,551.25,547.75,1099
0.575,551.25,547.75,1099
0.576,551.25,547.75,1099
0.577,551.25,547.75,1099
0.578,551.5,547.75,1099.25
0.579,551.5,547.75,1099.25
0.58,551.5,547.75,1099.25
0.581,551.5,548.25,1099.75
0.582,551.5,548.25,1099.75
0.583,551.5,548.25,1099.75
0.584,551.5,548.25,1099.75
0.585,551.5,548.25,1099.75
0.586,552,548.25,1100.25
0.587,552,548.5,1100.5
0.588,552,548.5,1100.5
0.589,552,548.5,1100.5
0.59,552.25,548.5,1100.75
0.591,552.25,548.5,1100.75
0.592,552.5,548,1100.5
0.593,552.5,548,1100.5
0.594,552.5,548.75,1101.25
0.595,552.5,548.75,1101.25
0.596,552.5,548.75,1101.25
0.597,552.5,548.75,1101.25
0.598,552.5,548.75,1101.25
0.599,552.5,549,1101.5
0.6,552.25,549,1101.25
0.601,552.25,549,1101.25
0.602,552.25,549,1101.25
0.603,552.25,549,1101.25
0.604,552.25,549,1101.25
0.605,552.25,549,1101.25
0.606,552.75,548.5,1101.25
0.607,552.75,548.5,1101.25
0.608,553.25,548.5,1101.75
0.609,553.5,548.5,1102
0.61,553.5,548.5,1102
0.611,553.5,548.5,1102
0.612,553.5,549,1102.5
0.613,553.5,548.5,1102
0.614,553.5,548.5,1102
0.615,553.5,548.5,1102
0.616,553.5,548.5,1102
0.617,553.5,548.5,1102
0.618,553.5,548.25,1101.75
0.619,554.5,548.25,1102.75
0.62,554.5,548.25,1102.75
0.621,554.5,548.25,1102.75
0.622,554.5,548.25,1102.75
0.623,554.5,548,1102.5
0.624,554.5,548,1102.5
0.625,554.5,548.5,1103
0.626,555,548.5,1103.5
0.627,555.75,548.5,1104.25
0.628,555.75,548.25,1104
0.629,555.75,548.75,1104.5
0.63,555.75,548.75,1104.5
0.631,556.25,548.75,1105
0.632,556.25,548.75,1105
0.633,556.25,548.5,1104.75
0.634,556.25,548.75,1105
0.635,556.25,548.25,1104.5
0.636,556.25,548.25,1104.5
0.637,556.75,548.25,1105
0.638,556.75,548.25,1105
0.639,556.75,547.75,1104.5
0.64,556.75,548.5,1105.25
0.641,556.75,548.5,1105.25
0.642,556.75,548.5,1105.25
0.643,556.75,548.5,1105.25
0.644,556.75,548.5,1105.25
0.645,556.75,549,1105.75
0.646,556.75,549,1105.75
0.647,556.75,549,1105.75
0.648,556.75,549,1105.75
0.649,556.75,549.5,1106.25
0.65,557.25,549.5,1106.75
0.651,557.25,549.5,1106.75
0.652,557.5,550,1107.5
0.653,557.5,550.25,1107.75
0.654,557.5,550.25,1107.75
0.655,557.5,550.25,1107.75
0.656,558,550.5,1108.5
0.657,558.5,551,1109.5
0.658,558.5,551,1109.5
0.659,558.75,551.5,1110.25
0.66,558.75,551.5,1110.25
0.661,558.75,551.5,1110.25
0.662,558.75,551.5,1110.25
0.663,559.25,551.5,1110.75
0.664,559.25,552,1111.25
0.665,559.25,551.75,1111
0.666,559.25,551.75,1111
0.667,558.75,551.75,1110.5
0.668,558.75,551.75,1110.5
0.669,558.75,551.75,1110.5
0.67,558.75,551.25,1110
0.671,559.25,551.25,1110.5
0.672,559.25,551.25,1110.5
0.673,559.25,550.75,1110
0.674,558.75,551.25,1110
0.675,558.5,551.75,1110.25
0.676,558.5,551.75,1110.25
0.677,558,551.25,1109.25
0.678,558,551.25,1109.25
0.679,558,550.75,1108.75
0.68,558,551,1109
0.681,558,551,1109
0.682,558,550.75,1108.75
0.683,558,550.75,1108.75
0.684,558,550.75,1108.75
0.685,557,550.25,1107.25
0.686,557,550.75,1107.75
0.687,557,550.25,1107.25
0.688,556.75,550.25,1107
0.689,556.75,550.25,1107
0.69,556.75,550.25,1107
0.691,556.75,550.25,1107
0.692,556.75,550.25,1107
0.693,556.75,549.75,1106.5
0.694,556.75,549.75,1106.5
0.695,556.75,549.25,1106
0.696,556.25,549.25,1105.5
0.697,556.25,549,1105.25
0.698,556.25,549,1105.25
0.699,555.75,549,1104.75
0.7,555.25,548.5,1103.75
0.701,555.25,548.5,1103.75
0.702,554.75,549,1103.75
0.703,554.75,548.5,1103.25
0.704,554.25,548.5,1102.75
0.705,554.25,548.25,1102.5
0.706,554.25,548.25,1102.5
0.707,554.25,548,1102.25
0.708,554,547.75,1101.75
0.709,554,547.75,1101.75
0.71,554,547.75,1101.75
0.711,554,547.75,1101.75
0.712,553.5,547.25,1100.75
0.713,553.5,547.25,1100.75
0.714,553.5,546.75,1100.25
0.715,553,546.25,1099.25
0.716,553,546.75,1099.75
0.717,553,546.25,1099.25
0.718,553,546.25,1099.25
0.719,553,546.25,1099.25
0.72,552.75,545.75,1098.5
0.721,552.75,545.75,1098.5
0.722,552.75,545.75,1098.5
0.723,552.75,545.25,1098
0.724,552.75,544.75,1097.5
0.725,552.5,544.75,1097.25
0.726,552.5,544.75,1097.25
0.727,552,543.5,1095.5
0.728,551.5,543.5,1095
0.729,551.5,543.5,1095
0.73,551.5,543.5,1095
0.731,551.5,542.5,1094
0.732,551,542.5,1093.5
0.733,551,542.5,1093.5
0.734,551,542.5,1093.5
0.735,550.5,542.5,1093
0.736,550.5,542.5,1093
0.737,550.25,542.5,1092.75
0.738,550,542.5,1092.5
0.739,549.75,542.5,1092.25
0.74,549.75,542,1091.75
0.741,549.75,542,1091.75
0.742,549.75,542,1091.75
0.743,549.75,542.25,1092
0.744,549.75,541.75,1091.5
0.745,549.25,541.25,1090.5
0.746,548.75,541.25,1090
0.747,548.75,541.75,1090.5
0.748,548.75,541.25,1090
0.749,548.75,541.25,1090
0.75,548.75,540.75,1089.5
0.751,548.75,540.75,1089.5
0.752,549.25,540.75,1090
0.753,549.25,540.25,1089.5
0.754,549.25,540.75,1090
0.755,549.25,540.25,1089.5
0.756,549.75,540.25,1090
0.757,549.75,540.25,1090
0.758,549.75,540.25,1090
0.759,549.75,540.25,1090
0.76,549.75,540.25,1090
0.761,549.25,540.25,1089.5
0.762,549.25,540.25,1089.5
0.763,549.25,540.5,1089.75
0.764,549.25,540.5,1089.75
0.765,549.25,540.5,1089.75
0.766,549.5,540.25,1089.75
0.767,549,540.25,1089.25
0.768,549,540.75,1089.75
0.769,549,540.25,1089.25
0.77,549,540.25,1089.25
0.771,549,539.75,1088.75
0.772,549,539.75,1088.75
0.773,549,539.75,1088.75
0.774,549,539.75,1088.75
0.775,549,540.5,1089.5
0.776,549,540.5,1089.5
0.777,549,540.5,1089.5
0.778,549,540.5,1089.5
0.779,549,540.5,1089.5
0.78,549,541,1090
0.781,549,541,1090
0.782,549,541,1090
0.783,549,542,1091
0.784,549,542.5,1091.5
0.785,549,542.5,1091.5
0.786,549,542.5,1091.5
0.787,549,543,1092
0.788,549,543,1092
0.789,549,543.25,1092.25
0.79,549,543.25,1092.25
0.791,549.25,543.25,1092.5
0.792,549.25,543.75,1093
0.793,549.25,543.25,1092.5
0.794,549.75,543.25,1093
0.795,550.25,543.25,1093.5
0.796,550.25,543.25,1093.5
0.797,550.25,543.25,1093.5
0.798,550.25,543.25,1093.5
0.799,549.75,543.25,1093
0.8,549.75,543.25,1093
0.801,549.75,544.75,1094.5
0.802,549.75,544.75,1094.5
0.803,549.75,544.75,1094.5
0.804,549.75,544.75,1094.5
0.805,549.75,545.25,1095
0.806,549.75,545.25,1095
0.807,549.75,545,1094.75
0.808,550.25,545,1095.25
0.809,550.75,545,1095.75
0.81,551.25,545.5,1096.75
0.811,551.25,545.5,1096.75
0.812,551.25,546,1097.25
0.813,551.25,546,1097.25
0.814,551.25,546,1097.25
0.815,551.25,546,1097.25
0.816,551.25,546,1097.25
0.817,551.25,546,1097.25
0.818,551.75,546.25,1098
0.819,551.75,547,1098.75
0.82,551.75,547,1098.75
0.821,551.75,547,1098.75
0.822,551.75,547.5,1099.25
0.823,551.75,547.75,1099.5
0.824,552.25,547.5,1099.75
0.825,552.25,547.5,1099.75
0.826,552.25,548.25,1100.5
0.827,552.25,548.75,1101
0.828,552.25,548.75,1101
0.829,552.25,548.25,1100.5
0.83,552.75,548.75,1101.5
0.831,553.5,548.75,1102.25
0.832,554,548.75,1102.75
0.833,554,548.75,1102.75
0.834,554,549.75,1103.75
0.835,555,549.75,1104.75
0.836,555,549.75,1104.75
0.837,555,549.75,1104.75
0.838,555,549.5,1104.5
0.839,555.5,549.5,1105
0.84,555.5,549.5,1105
0.841,555.5,549,1104.5
0.842,555.5,548.75,1104.25
0.843,555.5,548.75,1104.25
0.844,554.5,548.25,1102.75
0.845,554.5,548.25,1102.75
0.846,554.5,547.75,1102.25
0.847,554,547.75,1101.75
0.848,554,547.75,1101.75
0.849,554,548.25,1102.25
0.85,554,548.25,1102.25
0.851,554,548.25,1102.25
0.852,554,548.25,1102.25
0.853,554,548.25,1102.25
0.854,554,547.75,1101.75
0.855,554,547.75,1101.75
0.856,554,548.75,1102.75
0.857,554,548.75,1102.75
0.858,554,548.75,1102.75
0.859,554.5,549,1103.5
0.86,554.5,549,1103.5
0.861,554.5,549.5,1104
0.862,554.5,550,1104.5
0.863,554.5,550,1104.5
0.864,554.5,550.5,1105
0.865,555,550.5,1105.5
0.866,555,550.5,1105.5
0.867,554.5,550.75,1105.25
0.868,554.5,550.75,1105.25
0.869,554.5,550.75,1105.25
0.87,554.5,550.75,1105.25
0.871,554.5,550.75,1105.25
0.872,554.5,551.25,1105.75
0.873,554.5,550.75,1105.25
0.874,554.5,550.75,1105.25
0.875,554.5,550.75,1105.25
0.876,554.5,550.75,1105.25
0.877,554.5,550.75,1105.25
0.878,554.5,550.25,1104.75
0.879,554.5,549.75,1104.25
0.88,554.5,549.75,1104.25
0.881,554.5,549.75,1104.25
0.882,554.5,549.75,1104.25
0.883,554.5,549.25,1103.75
0.884,554.5,549.25,1103.75
0.885,554.5,549,1103.5
0.886,554,548.75,1102.75
0.887,554,548.5,1102.5
0.888,554,548.25,1102.25
0.889,553.75,548.25,1102
0.89,553.75,547.75,1101.5
0.891,554.25,546.75,1101
0.892,553.75,546.75,1100.5
0.893,553.75,546.25,1100
0.894,553.75,546.25,1100
0.895,553.75,546.25,1100
0.896,553.75,545.75,1099.5
0.897,553.75,544.75,1098.5
